,ewma(34/13)
2000,0.0977814098654568
2001,-0.27156989610472915
2002,0.09059990670909003
2003,-0.504800327961718
2004,-0.5060667085986527
2005,-0.07862111559675168
2006,-0.026591521335612545
2007,-0.07939311818292621
2008,0.9183700349139904
2009,-0.3222995705194868
2010,-0.4642238850784251
2011,-0.1886904380764051
2012,0.0016415017138909456
2013,-0.4140539278037118
2014,-0.12874055276284702
2015,-0.13920163599596272
2016,-0.12461196942258596
2017,-0.3874312003368681
2018,0.536232347156395
2019,0.11700697390048954
2020,0.5754388838105907
