year,filter(1+2)
2000,0.29126248577500075
2001,-0.22240194495060747
2002,-0.043236104827224474
2003,-0.4118143457182865
2004,-0.3187714680813801
2005,-0.14243043590254026
2006,0.0008741058992722421
2007,-0.08624487626691477
2008,0.8081651146596037
2009,-0.45176965148354303
2010,-0.34186315637807957
2011,-0.01342940526557877
2012,-0.17833233662509296
2013,-0.4214955994255374
2014,-0.006693062217885479
2015,0.021451050091575503
2016,-0.30619832874229125
2017,-0.3540169208840741
2018,0.25490936961779015
2019,-0.19033143074043893
2020,0.14235275413234352
