year,"ma(6/13)_macd(8,17,9)"
2000,1.1072617577729322
2001,-0.2348300329599764
2002,0.08988600191779572
2003,-0.3400525489977937
2004,-0.9962711609691284
2005,-0.030340062355124695
2006,-0.3505116149464089
2007,-0.17105771998137362
2008,0.8194213131554106
2009,-0.10707041551502763
2010,-0.35257765773889743
2011,-0.2423852509098031
2012,0.103402075862565
2013,-0.4157489124115122
2014,-0.21245883404675525
2015,-0.13581658650156148
2016,-0.5199662481484875
2017,-0.4980867004321487
2018,0.39031625308878537
2019,0.4026336217868488
2020,0.19000087202134194
