year,ma(13/13)
2000,0.26508230727253196
2001,-0.30822876517897524
2002,-0.009941513249795218
2003,-0.3436471722746694
2004,-0.5126953831882745
2005,-0.447507438201848
2006,-0.03504819374746111
2007,0.05655922880404143
2008,0.9186540649211732
2009,-0.15187500788022615
2010,-0.4759142674034959
2011,0.22997779320733125
2012,-0.0991181358763639
2013,-0.29930611301194976
2014,0.09854516251612774
2015,-0.1288830241544498
2016,0.11207507381251725
2017,-0.44495169103600435
2018,0.4429463374421693
2019,-0.1622418150011867
2020,1.2336979089633298
